
USERID,NAME,DOB,POB,CLP,GENDER,AGE,HEIGHT ft,MOBILENUMBER,COLOR,EMAILID,JOBPROFILE,DEGREE,ANNUAL INCOME,FATHER'S NAME,FAMILY NAME,FATHER OCCU,FAMILY STATUS
101,Aaditya,27-01-1994,BUNDI,KOLKATA,MALE,28,4.363517,9094871954,FAIR,xyz1@gmail.com,Sales,MBA,10420000,VIVEKANAND,ACHARYA,ENGINEER,Middle class
102,Aarav,13-05-1993,KOTA,KOTA,MALE,29,5.249344,9776572469,DUSKY,xyz2@gmail.com,Accountant,CA,14300000,BIPIN,AGARWAL,BUSINESS,Middle class
103,Ajay,02-05-1991,BARAN,BARAN,MALE,31,4.724409,9500338154,BROWN,xyz3@gmail.com,Lawyer,LLB,9640000,SUYOG,KHATRI,TEACHER,Upper class
104,Akash,03-09-1994,JHALAWAR,JHALAWAR,MALE,28,4.527559,9264340026,BROWN,xyz4@gmail.com,Lawyer,LLB,8240000,MAHESH,AHUJA,LAWYER,Middle class
105,Akhil,26-03-1993,INDORE,INDORE,MALE,29,4.396325,9020480705,DUSKY,xyz5@gmail.com,Accountant,CA,1390000,SURESH,ANAND,DOCTOR,Middle class
106,Akshay,14-08-1997,DELHI,DELHI,MALE,25,6.069554,9381444203,DUSKY,xyz6@gmail.com,Doctor,MBBS,6400000,RAMESH,PATEL,TEACHER,Upper class
107,Anand,26-04-1999,MUMBAI,MUMBAI,MALE,23,5.905512,9150402852,FAIR,xyz7@gmail.com,Sales,MBA,2250000,RAJESH,REDDY,BUSINESS,Middle class
108,Anil,28-12-1996,CHENNAI,CHENNAI,MALE,25,4.199475,9799030182,FAIR,xyz8@gmail.com,Sales,MBA,6490000,ROHIT,ARYA,TEACHER,Upper class
109,Ari,27-11-1999,KOLKATA,KOLKATA,MALE,22,5.74147,9745977803,FAIR,xyz9@gmail.com,Accountant,CA,2230000,DEEPAK,BABU,TEACHER,Upper class
110,Arian,11-11-1990,GUWAHATI,GUWAHATI,MALE,31,4.986877,9703601612,FAIR,xyz10@gmail.com,Software Engineer,Btech,5530000,MAHENDRA,BHATT,GOVERNMENT,Upper class
